GPU Devices:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
{'loss': 0.0154, 'grad_norm': 0.012810529209673405, 'learning_rate': 1.9038372630605642e-05, 'epoch': 0.14}
{'loss': 0.1575, 'grad_norm': 0.313154011964798, 'learning_rate': 1.9019879796578827e-05, 'epoch': 0.15}
{'loss': 0.0227, 'grad_norm': 0.06461749225854874, 'learning_rate': 1.9001386962552015e-05, 'epoch': 0.15}
{'loss': 0.0022, 'grad_norm': 0.026839418336749077, 'learning_rate': 1.89828941285252e-05, 'epoch': 0.15}
{'loss': 0.001, 'grad_norm': 0.024416420608758926, 'learning_rate': 1.8964401294498384e-05, 'epoch': 0.16}
{'loss': 0.0433, 'grad_norm': 0.06930571794509888, 'learning_rate': 1.894590846047157e-05, 'epoch': 0.16}
{'loss': 0.1428, 'grad_norm': 20.937583923339844, 'learning_rate': 1.8927415626444753e-05, 'epoch': 0.16}
{'loss': 0.0619, 'grad_norm': 0.05548993870615959, 'learning_rate': 1.8908922792417938e-05, 'epoch': 0.16}
{'loss': 0.0664, 'grad_norm': 0.21709558367729187, 'learning_rate': 1.8890429958391126e-05, 'epoch': 0.17}
{'loss': 0.0255, 'grad_norm': 0.05331014096736908, 'learning_rate': 1.887193712436431e-05, 'epoch': 0.17}
{'loss': 0.0017, 'grad_norm': 0.009772350080311298, 'learning_rate': 1.8853444290337495e-05, 'epoch': 0.17}
{'loss': 0.0148, 'grad_norm': 0.010468840599060059, 'learning_rate': 1.883495145631068e-05, 'epoch': 0.17}
{'loss': 0.0582, 'grad_norm': 1.7558538913726807, 'learning_rate': 1.8816458622283865e-05, 'epoch': 0.18}
{'loss': 0.0675, 'grad_norm': 34.318214416503906, 'learning_rate': 1.879796578825705e-05, 'epoch': 0.18}
{'loss': 0.0256, 'grad_norm': 0.0191958025097847, 'learning_rate': 1.8779472954230237e-05, 'epoch': 0.18}
{'loss': 0.0406, 'grad_norm': 0.005866118241101503, 'learning_rate': 1.8760980120203422e-05, 'epoch': 0.19}
{'loss': 0.0949, 'grad_norm': 0.01557885017246008, 'learning_rate': 1.8742487286176607e-05, 'epoch': 0.19}
{'loss': 0.0616, 'grad_norm': 0.006706985644996166, 'learning_rate': 1.8723994452149795e-05, 'epoch': 0.19}
{'loss': 0.1051, 'grad_norm': 0.11865411698818207, 'learning_rate': 1.870550161812298e-05, 'epoch': 0.19}
{'loss': 0.0499, 'grad_norm': 0.025159534066915512, 'learning_rate': 1.8687008784096164e-05, 'epoch': 0.2}
{'loss': 0.0166, 'grad_norm': 0.08848018199205399, 'learning_rate': 1.866851595006935e-05, 'epoch': 0.2}
{'loss': 0.0137, 'grad_norm': 0.46490103006362915, 'learning_rate': 1.8650023116042533e-05, 'epoch': 0.2}
{'loss': 0.0379, 'grad_norm': 0.015340602025389671, 'learning_rate': 1.8631530282015718e-05, 'epoch': 0.21}
{'loss': 0.0257, 'grad_norm': 0.014145363122224808, 'learning_rate': 1.8613037447988906e-05, 'epoch': 0.21}
{'loss': 0.0679, 'grad_norm': 25.595216751098633, 'learning_rate': 1.859454461396209e-05, 'epoch': 0.21}
{'loss': 0.0266, 'grad_norm': 1.3130083084106445, 'learning_rate': 1.8576051779935276e-05, 'epoch': 0.21}
{'loss': 0.0521, 'grad_norm': 0.027389103546738625, 'learning_rate': 1.8557558945908464e-05, 'epoch': 0.22}
{'loss': 0.161, 'grad_norm': 17.33805274963379, 'learning_rate': 1.8539066111881648e-05, 'epoch': 0.22}
{'loss': 0.0317, 'grad_norm': 0.02618236653506756, 'learning_rate': 1.8520573277854833e-05, 'epoch': 0.22}
{'loss': 0.0056, 'grad_norm': 0.007010875269770622, 'learning_rate': 1.8502080443828018e-05, 'epoch': 0.22}
{'loss': 0.1345, 'grad_norm': 10.841310501098633, 'learning_rate': 1.8483587609801202e-05, 'epoch': 0.23}
{'loss': 0.0111, 'grad_norm': 0.06188035011291504, 'learning_rate': 1.8465094775774387e-05, 'epoch': 0.23}
{'loss': 0.1462, 'grad_norm': 0.01677848957479, 'learning_rate': 1.8446601941747575e-05, 'epoch': 0.23}
{'loss': 0.0785, 'grad_norm': 30.15550994873047, 'learning_rate': 1.842810910772076e-05, 'epoch': 0.24}
{'loss': 0.0144, 'grad_norm': 0.015308910049498081, 'learning_rate': 1.8409616273693944e-05, 'epoch': 0.24}
{'loss': 0.0765, 'grad_norm': 0.007752647623419762, 'learning_rate': 1.8391123439667132e-05, 'epoch': 0.24}
{'loss': 0.0059, 'grad_norm': 0.424908310174942, 'learning_rate': 1.8372630605640317e-05, 'epoch': 0.24}
{'loss': 0.0664, 'grad_norm': 1.4202239513397217, 'learning_rate': 1.8354137771613502e-05, 'epoch': 0.25}
